protected,subzone,mean_elev_cv,mean_loreys_height,mean_percentage_first_returns_above_2m,mean_total_biomass,sd_elev_cv,sd_loreys_height,sd_percentage_first_returns_above_2m,sd_total_biomass,count
unprotected,ESSF_xv,0.34649374266731264,19.918548930033914,53.58483183438778,121.77395421978396,0.10781148416386473,5.043598123174177,29.326376050284395,87.1029013648004,1083129
protected,ESSF_xvp,0.3688379466298585,18.860318196013626,47.40605704833059,107.09285264826094,0.0975773199054244,6.017648368356378,30.832865121220483,96.27484126331852,86453
unprotected,ESSF_xvp,0.3616801912899658,19.373182628733154,50.91592478085825,116.63314076955477,0.1033707148105551,5.90430939352317,30.560754820198003,96.46958959610008,86361
protected,ESSF_xvw,0.34588584850835313,20.731616282447444,55.36775668345264,135.346047074774,0.09663766540945536,5.464909698745339,30.72173630469976,100.80887096677615,20648
unprotected,ESSF_xvw,0.3404438419829682,19.76093948489444,54.058855054217126,120.24896591789302,0.09147113756715071,4.82320312257076,29.872124922075166,86.73215309784626,20656
protected,ICH_dk,0.3486717594874286,22.896850172498688,80.76146048956946,204.64032364054427,0.1116323585087528,5.46212759013702,15.898693147290217,85.51880327170001,6087
unprotected,ICH_dk,0.359986811737548,22.941988789976637,81.48633366304067,202.84233597098427,0.11478622658881778,5.264964108552189,16.82028514599334,85.7602311657096,6066
protected,ICH_dm,0.38477558260717815,25.04065535821164,80.59202133084197,243.04472471672997,0.1414017856325652,7.972541566976559,18.079040778892036,145.54082782163297,45099
unprotected,ICH_dm,0.36942926615553817,24.80920300109661,82.01458159912487,244.64840657173346,0.13258705788039232,7.8102714891008445,18.23835418598421,142.76409076574058,45650
protected,ICH_dw,0.3573317687691844,22.995730132168728,81.15504172750026,215.254839729387,0.12413882781547982,7.154548753082041,17.627507272602447,117.99639553952807,566292
unprotected,ICH_dw,0.3623946796377746,23.4483936815542,82.02220230798581,225.71150168173037,0.12936326260281375,7.732694498933798,17.960922984737923,130.8632533802859,563082
protected,ICH_mc,0.32288050417958075,18.019251552249003,87.33667752693994,170.50767941381355,0.12596217919423422,6.187824853459398,13.8267315740824,117.6694291706145,91158
unprotected,ICH_mc,0.3156285325610484,17.418906365189514,88.05440802177628,158.95795747767073,0.11909782340349953,6.364209526706642,13.792747498308517,117.44547163629521,91152
protected,ICH_mk,0.36872346814298024,22.25658501454114,76.19115639956152,197.53075924274688,0.1222336633150697,7.096514439805524,21.835085351858055,119.97670110559777,85256
unprotected,ICH_mk,0.3631846247045263,22.882790264527028,80.21502999276035,203.7775610248555,0.12176012791700254,6.310522143400605,17.5326669481641,105.07603389163147,84187
protected,ICH_mm,0.3800284679966312,22.566853269660427,76.83029423092545,193.93657167063168,0.11223193608527472,7.161294343895218,20.67890603664271,107.34303950952997,64915
unprotected,ICH_mm,0.37275689609522084,21.734854851020273,77.65285858917804,184.8980152017672,0.11757525592621967,7.036534517189125,20.60716846075848,106.87209605727485,64203
protected,ICH_mw,0.35378317853491315,22.921360549483957,81.8581728222504,214.38140675942032,0.1278651154335856,6.648481743317396,17.93296894784537,112.79828080977379,1257869
unprotected,ICH_mw,0.3519166612341982,22.81234239998033,83.17572113130213,215.76450751674528,0.13118347243308967,6.9336656938872725,16.491580590435635,115.86712315015336,1242471
protected,ICH_vc,0.31639965422977834,16.70550464822736,86.22184578035161,147.78023468876628,0.12650781129439315,5.530296126921669,15.648617076407735,99.14534350377458,193192
unprotected,ICH_vc,0.32374957683906297,16.053626516004744,85.6552838412197,136.29853102401097,0.11947595277285053,4.928499685008396,15.746745230325404,87.74202121801581,193189
protected,ICH_vk,0.3779143560007728,22.280168806060857,82.79447048925974,199.26287443948053,0.12268100030692375,6.741633034523514,16.533303303545043,103.20733630571718,456903
unprotected,ICH_vk,0.3729567217252159,22.68253507038775,84.12471862354937,208.6384784030144,0.14034957287011424,7.011572916292789,14.387877812871041,105.59537073081574,451335
protected,ICH_wc,0.3213694571485342,14.766247564128141,85.80640087492468,113.84592563133664,0.08285889553293332,3.4827044405352328,17.732755039304415,54.102428268918906,5029
unprotected,ICH_wc,0.33000517001391877,16.328472260886965,85.50779677868275,138.00824219526757,0.11039111406249061,5.339048409103764,16.435363938351315,90.28930995756689,5029
protected,ICH_wk,0.3716036053726786,22.682387161964176,80.2703911286171,203.88268501162068,0.12143102355294977,6.833587668564612,19.637005142526416,108.01630192126264,1865217
unprotected,ICH_wk,0.3571473542435881,22.0042197102677,84.11940532675328,204.0285155251926,0.13610845540630084,7.1644922576427374,15.356325637729725,112.39094217916337,1840456
protected,ICH_xw,0.3841180396671632,21.301848340888192,75.0478634820243,198.6119405138173,0.14215336605030834,9.067039699410069,23.73235455178486,154.2228666787375,68621
unprotected,ICH_xw,0.38713518437545297,23.20891454598542,80.35916819705962,223.893848272819,0.1426555528520873,8.574617556151063,20.875154645573595,150.50631533456126,68610
protected,IDF_dc,0.3569311546690633,23.85688387742562,71.77479432672864,202.61804058251678,0.10648704307315303,6.405089199438803,27.335874187612777,116.20371859797338,28978
unprotected,IDF_dc,0.3628032131307212,24.096019821262175,72.79885314879637,207.8802907118284,0.11805621826012125,6.885241424612139,24.535398987235162,115.82366376727369,28757
protected,IDF_dk,0.36127192811327163,20.791012406788326,58.886709113777854,142.0949319717718,0.10790439596919064,5.78063872130931,29.672158558145867,104.57799521988701,461280
unprotected,IDF_dk,0.3574656126774705,21.418993848722298,60.482185115464134,149.35924269361516,0.10373748677863287,5.073867770014177,28.810374493471823,96.130184361864,461042
protected,IDF_dm,0.36077293752442124,21.63081767161019,66.64705692494495,167.36535904446674,0.10815993141568288,6.0480772971133,26.657487872222486,108.96492879269341,48643
unprotected,IDF_dm,0.3765344225236495,22.127346609126995,70.71367529798749,185.33230949443842,0.116473179700201,6.783250349113942,23.7623065138339,119.8035463310714,48660
protected,IDF_dw,0.3673528400854209,22.765770838421872,67.37013365587443,180.91928643569034,0.12329810093690981,6.41878955298404,26.479325607652573,111.80170287203751,245556
unprotected,IDF_dw,0.35788373576472904,22.1827995685163,62.21667170467142,168.1586729723337,0.11079123629223162,6.429990516664912,29.046292828380906,113.71148888084694,246129
protected,IDF_mw,0.35784102382281724,20.883837191241447,73.86117222981797,178.69042563609236,0.11583133298796142,7.473953809548097,23.727916387501246,110.1969743014806,59229
unprotected,IDF_mw,0.3631938853115444,22.01132904054655,78.12366239078567,197.82042454662704,0.11978451403411058,7.090094963113985,19.243224438473895,108.46515975634038,59169
protected,IDF_ww,0.3357451308438873,23.060240315220074,78.66073449579373,225.9946944664497,0.1187291816035926,8.097305218315896,25.356919896956825,148.25956321108657,373576
